zip,median_hh_income
84025,127338
84029,101365
84032,103440
84036,120769
84037,134375
84040,128365
84041,89604
84042,121275
98337,68561
98338,114819
98346,114779
98349,75875
98354,96866
98360,125842
98362,70123
98366,92011
98367,115482
98370,116756
98371,97242
98372,98152
98373,103796
98374,112662
98375,117074
98383,111139
98387,106872
98390,97795
98391,135037
98402,60505
98403,88056
98404,82191
98405,75946
98406,104264
98407,110288
98408,80899
98409,73348
98418,89706
98421,26307
98422,118604
98424,94122
98433,60158
98444,65342
98445,92520
98446,101938
98465,73226
98466,101778
98467,91354
98498,91664
98499,67292
98501,97198
98502,92207
98503,89002
98506,91596
98512,101530
98513,113053
98516,98892
98520,58153
98528,91058
98531,63406
98532,89910
98579,99411
98580,104684
98584,78610
98589,83855
98597,92219
98604,112448
98607,128318
98626,75528
98632,66305
98642,120822
98660,67344
98661,76913
98662,94303
98663,86018
98664,85369
98665,88559
98671,111545
98674,94245
98682,99918
98683,87659
98684,90620
98685,130972
98686,107801
98801,81488
98802,87744
98815,88108
98823,73074
98837,74586
98901,57392
98902,63092
98903,75343
98908,84197
98926,71137
98942,84646
98944,64276
98948,65759
98953,84766
99001,62518
99004,67337
99016,103472
99019,120053
99021,85489
99022,93812
99027,74718
99037,87713
99114,62711
99163,48231
99201,41171
99202,65189
99203,104372
99204,58277
99205,77374
99206,81764
99207,60452
99208,88599
99212,67049
99216,74278
99218,80733
99223,94279
99224,80770
99301,87951
99324,62839
99336,62527
99337,98848
99338,111042
99352,100108
99353,121845
99354,91933
99362,72474
99403,71482
